season,population,mig.year,n.tagged,surv.est,surv.ci.low,surv.ci.high,surv.se,surv.notes,
fall,Catherine,2005,544,0.122,0.093,0.161,,,
fall,Catherine,2006,500,0.074,,,0.012,,
fall,Catherine,2007,500,0.203,0.143,0.34,,,
fall,Catherine,2008,499,0.153,0.109,0.256,,,
fall,Catherine,2009,500,0.269,0.214,0.324,,,
fall,Catherine,2010,821,0.18,0.132,0.281,,,
fall,Catherine,2011,499,0.156,0.12,0.207,,,
fall,Catherine,2012,1153,0.188,0.155,0.232,,,
fall,Catherine,2013,1151,0.101,0.071,0.172,,,
fall,Catherine,2014,920,0.144,0.117,0.182,,,
fall,Catherine,2015,704,NA,,,,"N=4 detected at LGR, all of which were transported; 17 detected at downstream dams. Data were insufficient to calculate a survival probability",
fall,Catherine,2016,699,0.06,0.043,0.083,,,
fall,Catherine,2017,700,0.147,0.099,0.266,,,
fall,Catherine,2018,681,0.193,0.12,0.399,,,
fall,Catherine,2019,700,0.123,0.083,0.212,,,
fall,Lostine,1997,519,0.312,0.247,0.465,,,
fall,Lostine,1998,500,0.448,0.391,0.514,,,
fall,Lostine,1999,501,0.422,0.349,0.538,,,
fall,Lostine,2000,514,0.317,0.267,0.38,,,
fall,Lostine,2001,498,0.335,0.294,0.378,,,
fall,Lostine,2002,500,0.326,0.258,0.455,,,
fall,Lostine,2003,854,0.287,0.236,0.365,,,
fall,Lostine,2004,0,NA,,,,,
fall,Lostine,2005,500,0.267,0.227,0.31,,,
fall,Lostine,2006,495,0.269,0.207,0.406,,,
fall,Lostine,2007,500,0.223,0.172,0.301,,,
fall,Lostine,2008,499,0.265,0.221,0.317,,,
fall,Lostine,2009,501,0.312,0.257,0.367,,,
fall,Lostine,2010,1099,0.265,0.191,0.427,,,
fall,Lostine,2011,1100,0.251,0.221,0.286,,,
fall,Lostine,2012,1890,0.162,0.143,0.184,,,
fall,Lostine,2013,1167,0.225,0.173,0.318,,,
fall,Lostine,2014,1199,0.209,0.181,0.241,,,
fall,Lostine,2015,1124,0.168,0.125,0.246,,,
fall,Lostine,2016,1198,0.188,0.161,0.22,,,
fall,Lostine,2017,919,0.246,0.213,0.286,,,
fall,Lostine,2018,1144,0.238,0.193,0.308,,,
fall,Lostine,2019,1197,0.267,0.225,0.325,,,
fall,Minam,2001,300,0.427,0.371,0.485,,,
fall,Minam,2002,537,0.249,0.201,0.326,,,
fall,Minam,2003,849,0.238,0.199,0.292,,,
fall,Minam,2004,500,0.183,0.15,0.219,,,
fall,Minam,2005,498,0.293,0.253,0.337,,,
fall,Minam,2006,499,0.245,0.205,0.304,,,
fall,Minam,2008,500,0.283,0.235,0.344,,,
fall,Minam,2009,500,0.387,0.333,0.442,,,
fall,Minam,2010,944,0.366,0.243,0.676,,,
fall,Minam,2011,932,0.286,0.254,0.32,,,
fall,Minam,2012,1299,0.225,0.196,0.259,,,
fall,Minam,2013,1205,0.185,0.158,0.221,,,
fall,Minam,2014,1084,0.227,0.198,0.259,,,
fall,Minam,2015,1093,0.199,0.143,0.307,,,
fall,Minam,2016,1090,0.185,0.158,0.217,,,
fall,Minam,2017,899,0.275,0.239,0.317,,,
fall,Minam,2018,1043,0.245,0.201,0.308,,,
fall,Minam,2019,1100,0.322,0.274,0.387,,,
fall,UGR,1994,405,0.348,0.284,0.432,,,
fall,UGR,1995,424,0.228,0.184,0.281,,,
fall,UGR,1996,5,NA,,,,data were insufficient to calculate a survival probability,
fall,UGR,1997,27,NA,,,,data were insufficient to calculate a survival probability,
fall,UGR,1998,590,0.286,0.244,0.334,,,
fall,UGR,1999,498,0.269,0.229,0.315,,,
fall,UGR,2000,493,0.341,0.26,0.476,,,
fall,UGR,2002,344,0.308,0.198,0.653,,,
fall,UGR,2003,581,0.184,0.143,0.247,,,
fall,UGR,2004,180,0.164,0.114,0.225,,,
fall,UGR,2005,368,0.138,0.105,0.177,,,
fall,UGR,2006,521,0.171,0.136,0.232,,,
fall,UGR,2007,534,0.242,0.199,0.301,,,
fall,UGR,2008,159,0.338,0.257,0.45,,,
fall,UGR,2009,4,NA,,,,data were insufficient to calculate a survival probability,
fall,UGR,2010,485,0.209,0.162,0.275,,,
fall,UGR,2011,499,0.225,0.184,0.273,,,
fall,UGR,2012,606,0.196,0.16,0.239,,,
fall,UGR,2013,645,0.177,0.141,0.225,,,
fall,UGR,2014,636,0.201,0.165,0.245,,,
fall,UGR,2015,684,0.086,0.057,0.152,,,
fall,UGR,2016,699,0.12,0.09,0.163,,,
fall,UGR,2017,701,0.166,0.128,0.225,,,
fall,UGR,2018,651,0.175,0.139,0.23,,,
fall,UGR,2019,45,NA,,,,data were insufficient to calculate a survival probability,
winter,Catherine,1995,482,0.279,0.23,0.343,,,
winter,Catherine,1996,295,0.312,0.163,1.008,,,
winter,Catherine,1997,102,0.078,0.033,0.222,,,
winter,Catherine,1998,437,0.278,0.226,0.345,,,
winter,Catherine,1999,493,0.285,0.23,0.367,,,
winter,Catherine,2000,500,0.138,0.102,0.191,,,
winter,Catherine,2001,522,0.077,0.054,0.106,,,
winter,Catherine,2002,431,0.203,0.129,0.476,,,
winter,Catherine,2003,524,0.152,0.109,0.231,,,
winter,Catherine,2004,502,0.178,0.145,0.215,,,
winter,Catherine,2005,529,0.112,0.079,0.178,,,
winter,Catherine,2006,500,0.125,0.08,0.312,,,
winter,Catherine,2007,500,0.088,0.047,0.343,,,
winter,Catherine,2008,500,0.144,0.108,0.207,,,
winter,Catherine,2009,500,0.11,0.063,0.157,,,
winter,Catherine,2010,498,0.183,0.135,0.261,,,
winter,Catherine,2011,497,0.174,0.135,0.227,,,
winter,Catherine,2012,501,0.099,0.072,0.135,,,
winter,Catherine,2013,598,0.108,0.075,0.17,,,
winter,Catherine,2014,129,0.116,0.064,0.206,,,
winter,Catherine,2015,597,0.04,0.013,0.555,,,
winter,Catherine,2016,570,0.077,0.055,0.106,,,
winter,Catherine,2017,598,0.171,0.119,0.269,,,
winter,Catherine,2018,594,0.161,0.123,0.214,,,
winter,Catherine,2019,541,0.098,0.066,0.159,,,
winter,Lostine,1997,388,0.445,0.334,0.65,,,
winter,Lostine,1998,504,0.349,0.301,0.403,,,
winter,Lostine,1999,491,0.305,0.259,0.363,,,
winter,Lostine,2000,511,0.397,0.296,0.576,,,
winter,Lostine,2001,499,0.284,0.245,0.326,,,
winter,Lostine,2002,564,0.246,0.17,0.464,,,
winter,Lostine,2003,501,0.226,0.167,0.337,,,
winter,Lostine,2004,500,0.189,0.156,0.227,,,
winter,Lostine,2005,500,0.201,0.166,0.24,,,
winter,Lostine,2006,501,0.177,0.127,0.304,,,
winter,Lostine,2007,500,0.135,0.101,0.186,,,
winter,Lostine,2008,500,0.328,0.27,0.417,,,
winter,Lostine,2009,494,0.192,0.143,0.24,,,
winter,Lostine,2010,500,0.243,0.187,0.33,,,
winter,Lostine,2011,500,0.196,0.158,0.242,,,
winter,Lostine,2012,500,0.076,0.053,0.107,,,
winter,Lostine,2013,595,0.191,0.151,0.245,,,
winter,Lostine,2014,598,0.206,0.169,0.25,,,
winter,Lostine,2015,597,0.281,0.131,0.994,,,
winter,Lostine,2016,598,0.199,0.16,0.251,,,
winter,Lostine,2017,597,0.284,0.21,0.416,,,
winter,Lostine,2018,592,0.188,0.15,0.237,,,
winter,Lostine,2019,599,0.247,0.193,0.326,,,
winter,UGR,1994,505,0.248,0.152,0.519,,,
winter,UGR,1995,432,0.151,0.115,0.199,,,
winter,UGR,1998,124,0.113,,,0.028,,
winter,UGR,1999,420,0.118,0.083,0.183,,,
winter,UGR,2000,500,0.133,0.099,0.183,,,
winter,UGR,2004,301,0.296,0.245,0.353,,,
winter,UGR,2005,449,0.207,0.159,0.306,,,
winter,UGR,2006,464,0.08,0.052,0.183,,,
winter,UGR,2007,482,0.169,0.132,0.226,,,
winter,UGR,2008,83,0.361,0.124,5.029,,,
winter,UGR,2009,0,NA,,,,,
winter,UGR,2010,498,0.125,0.092,0.172,,,
winter,UGR,2011,431,0.124,0.094,0.16,,,
winter,UGR,2012,258,0.043,,,0.013,,
winter,UGR,2013,576,0.057,0.038,0.087,,,
winter,UGR,2014,125,0.072,0.029,0.265,,,
winter,UGR,2015,600,0.07,0.037,0.215,,,
winter,UGR,2016,331,0.048,0.026,0.095,,,
winter,UGR,2017,597,0.054,0.033,0.092,,,
winter,UGR,2018,596,0.088,0.061,0.135,,,
winter,UGR,2019,600,0.097,0.06,0.185,,,
spring,Catherine,1995,348,0.506,0.441,0.578,,,
spring,Catherine,1996,276,0.591,0.48,0.755,,,
spring,Catherine,1997,81,0.413,0.292,0.58,,,
spring,Catherine,1998,453,0.517,0.459,0.583,,,
spring,Catherine,1999,502,0.448,0.379,0.545,,,
spring,Catherine,2000,431,0.452,0.359,0.598,,,
spring,Catherine,2001,328,0.376,0.322,0.433,,,
spring,Catherine,2002,217,0.527,0.411,0.75,,,
spring,Catherine,2003,535,0.365,0.312,0.431,,,
spring,Catherine,2004,525,0.413,0.37,0.457,,,
spring,Catherine,2005,410,0.445,0.366,0.569,,,
spring,Catherine,2006,360,0.367,0.29,0.526,,,
spring,Catherine,2007,363,0.31,0.25,0.402,,,
spring,Catherine,2008,484,0.38,0.309,0.506,,,
spring,Catherine,2009,498,0.491,0.379,0.604,,,
spring,Catherine,2010,571,0.464,0.378,0.607,,,
