season,population,mig.year,n.length,len.mean,len.sd,len.se,len.min,len.max,summer.median.date,len.notes,
summer,Catherine,2014,1173,61.0,7.19,0.21,42,85,2013-07-25,,
fall,Catherine,2014,1469,75.2,9.58,0.25,49,134,,,
winter,Catherine,2014,140,83.1,8.40,0.71,59,99,,,
spring,Catherine,2014,915,84.7,7.86,0.26,41,120,,,
summer,Catherine-lower,2015,1004,70.2,6.02,0.19,51,88,2014-07-22,,
summer,Catherine,2015,1228,62.1,8.41,0.24,39,126,2014-07-27,,
fall,Catherine,2015,1256,75.9,9.21,0.26,54,127,,,
winter,Catherine,2015,611,78.5,8.40,0.34,53,114,,,
spring,Catherine,2015,222,86.2,10.13,0.68,56,121,,,
summer,Catherine-lower,2016,"1,037",66.6,6.44,0.20,46,89,2015-07-15,,
summer,Catherine,2016,"1,098",64.4,7.62,0.23,46,99,2015-07-21,,
fall,Catherine,2016,"1,220",73.3,9.08,0.26,49,125,,,
winter,Catherine,2016,578,80.7,8.17,0.34,55,104,,,
spring,Catherine,2016,476,82.6,7.20,0.33,60,105,,,
summer,Catherine-lower,2017,"1,109",63.8,30.97,0.93,44,94,2016-07-19,,
summer,Catherine,2017,"1,001",72.7,20.25,0.64,48,92,2016-07-26,,
fall,Catherine,2017,919,75.4,36.68,1.21,54,119,,,
winter,Catherine,2017,599,82.4,18.60,0.76,53,105,,,
spring,Catherine,2017,659,87.9,22.33,0.87,57,118,,,
summer,Catherine-lower,2018,994,74.0,24.91,0.79,53,126,2017-07-18,,
summer,Catherine,2018,989,63.6,31.45,1.00,44,115,2017-07-25,,
fall,Catherine,2018,1024,76.2,42.24,1.32,51,152,,,
winter,Catherine,2018,605,81.2,20.66,0.84,58,105,,,
spring,Catherine,2018,837,87.4,21.70,0.75,58,115,,,
summer,Catherine-lower,2019,190,81.3,5.24,0.38,63,94,2018-07-25,PIT tagged fish only,
summer,Catherine,2019,979,67.6,6.26,0.20,55,91,2018-07-31,PIT tagged fish only,
fall,Catherine,2019,710,83.7,8.26,0.31,60,105,,,
