"WeirLocation","TrapYear","TrapDate","Count","Sex","Origin","ForkLength","BestAge","CWTAge","PITAge","ScaleAge_Best","LengthAge","Age_Key","Recapture","Disposition","Description","New_or_recap","OpPunch"
"Catherine Creek",2001,2001-6-10 00:00:00,1,"F","Nat",745,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-14 00:00:00,1,"M","Nat",428,3,,,,3,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-14 00:00:00,1,"F","Nat",760,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-14 00:00:00,1,"M","Nat",702,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-14 00:00:00,1,"M","Nat",738,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-14 00:00:00,1,"M","Nat",709,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-14 00:00:00,1,"F","Nat",695,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-14 00:00:00,1,"M","Nat",660,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-17 00:00:00,1,"M","Nat",448,3,,,,3,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-17 00:00:00,1,"M","Nat",732,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-17 00:00:00,1,"M","Nat",753,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-17 00:00:00,1,"F","Nat",709,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-17 00:00:00,1,"M","Nat",691,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-21 00:00:00,1,"M","Nat",419,3,,,,3,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-21 00:00:00,1,"M","Nat",499,3,,,,3,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-21 00:00:00,1,"F","Nat",695,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-22 00:00:00,1,"M","Nat",722,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-23 00:00:00,1,"M","Nat",775,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-23 00:00:00,1,"F","Nat",728,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-30 00:00:00,1,"F","Nat",856,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-30 00:00:00,1,"M","Nat",756,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-7-2 00:00:00,1,"M","Nat",527,3,,,,3,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-7-3 00:00:00,1,"F","Nat",659,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-7-5 00:00:00,1,"M","Nat",673,4,,,,4,,0,"P","Passed above weir","New","2ROP"
"Catherine Creek",2001,2001-7-5 00:00:00,1,"F","Nat",743,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-7-7 00:00:00,1,"F","Nat",751,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-7-7 00:00:00,1,"M","Nat",930,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-7-7 00:00:00,1,"F","Nat",621,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-9-2 00:00:00,1,"F","Nat",732,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-6-13 00:00:00,1,"F","Nat",838,5,,,,5,,0,"P","Passed above weir","New","3ROP"
"Catherine Creek",1998,1998-6-13 00:00:00,1,"F","Nat",844,5,,,,5,,0,"P","Passed above weir","New","3ROP"
"Catherine Creek",1998,1998-6-13 00:00:00,1,"M","Nat",698,4,,,,4,,0,"P","Passed above weir","New","3ROP"
"Catherine Creek",1998,1998-6-13 00:00:00,1,"M","Nat",890,5,,,,5,,0,"P","Passed above weir","New","3ROP"
"Catherine Creek",1998,1998-6-18 00:00:00,1,"M","Nat",778,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-6-19 00:00:00,1,"F","Nat",870,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-6-20 00:00:00,1,"F","Nat",800,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-6-22 00:00:00,1,"M","Nat",761,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-6-23 00:00:00,1,"F","Nat",810,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-6-23 00:00:00,1,"F","Nat",819,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-6-26 00:00:00,1,"M","Nat",800,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-6-29 00:00:00,1,"M","Nat",880,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-7-2 00:00:00,1,"F","Nat",830,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-7-2 00:00:00,1,"M","Nat",920,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-7-3 00:00:00,1,"F","Nat",855,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-7-7 00:00:00,1,"F","Nat",865,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-7-6 00:00:00,1,"M","Nat",861,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-7-7 00:00:00,1,"M","Nat",720,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1998,1998-9-4 00:00:00,1,"M","Nat",865,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-5-13 00:00:00,1,"Unk","Nat",745,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-6-15 00:00:00,1,"Unk","Nat",805,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-2 00:00:00,1,"Unk","Nat",736,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-2 00:00:00,1,"Unk","Nat",708,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-7 00:00:00,1,"Unk","Nat",758,4,,,,4,,0,"P","Passed above weir","New","1ROP"
