"LCM_pop","River","Year","SurveyDate","SiteID","Section","AboveOrBelowWeir","AboveOrBelowRST","Survey Type","Objective","Count","Sex","Origin","ForkLength","BestAge","CWTAge","BestScaleAge","LengthAge","AgeKey","PreSpawn","PercentSpawned","MarkRecapSizeCategory","OPPunch","OperclePunchType","Comments"
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",720,4,,4,4,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",632,4,,4,4,,"Spawned",100.00,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",710,4,,4,4,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",702,3,,,4,,"NotValid",,"Jack","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",705,4,,,4,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",720,4,,4,4,,"Spawned",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",780,4,,4,4,,"NotValid",,"Adult","No",,"SAMP. BETWEEN SURVEY DAYS"
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",700,4,,4,4,,"Spawned",,"Adult","No",,"SAMP. BETWEEN SURVEY DAYS"
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH7.1","Badger Flat Road to Culvert","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",700,4,,4,,,"Spawned",100.00,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH7.1","Badger Flat Road to Culvert","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",820,4,,4,,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH7.1","Badger Flat Road to Culvert","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",810,4,,,,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH7.2D","Culvert to the 1st Union Bridge (Prior to weir installation)","Prior to weir construction",,"Supplemental","Redd & Carcass",1,"M","Nat",765,3,,,4,,"NotValid",,"Jack","No",,"FinMark changed from AD because no CWT found"
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH7.2D","Culvert to the 1st Union Bridge (Prior to weir installation)","Prior to weir construction",,"Supplemental","Redd & Carcass",1,"F","Nat",685,4,,4,4,,"Spawned",100.00,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH7.2D","Culvert to the 1st Union Bridge (Prior to weir installation)","Prior to weir construction",,"Supplemental","Redd & Carcass",1,"F","Nat",760,4,,4,4,,"PreSpawn",0.00,"Adult","No",,
"Catherine","Catherine Creek",1998.00,1998-9-1 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",840,5,,5,5,,"Spawned",100.00,"Adult","Yes","1ROP","Jaw tag 800; middle NF to mouth assuming same as NF CG to mouth"
"Catherine","Catherine Creek",1998.00,1998-8-25 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Index","Redd & Carcass",1,"F","Nat",830,5,,5,5,,"Spawned",100.00,"Adult",,,
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",710,4,,4,4,,"Spawned",100.00,"Adult",,,
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",840,5,,5,5,,"Spawned",100.00,"Adult",,,
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",880,5,,5,5,,"Spawned",100.00,"Adult",,,
